ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
GO:0002250,adaptive immune response,343,-0.6269216575048339,-2.265482126512576,4.14950357746666e-21,2.5075450118631028e-17,2.353423713198986e-17,1511,"tags=30%, list=10%, signal=28%",Txk/Jam3/H2-DMa/Clec4d/Rftn1/Prkcb/Gadd45g/Inpp5d/Slamf7/Nfkbid/Pdcd1/Il1b/Mef2c/Tnfrsf14/Was/Il27/Pik3cd/Il4/Lamp3/Bach2/Prf1/Cd48/Tnfrsf13b/Lat2/Cd160/Cd70/Adcy7/Irf4/Clec4g/Dennd1b/Unc13d/Pag1/Btk/Clcf1/Pou2f2/Sla2/Gpr183/Ptprc/Ptpn6/Il13ra2/Lta/Cd3e/Klhl6/Icosl/Cd8a/Lax1/Camk4/Syk/Ctla4/Prkcq/Ly9/Ifng/Themis/Sash3/Samsn1/Fcer1a/6030468B19Rik/Tnfsf4/Il2/Tarm1/Igll1/Cd3g/Eomes/Il33/Zap70/Myo1g/Il7r/Cd4/Stx11/Sh2d1a/Gapt/Il31ra/Skap1/Itk/Cd40/Il27ra/Slamf6/Pagr1a/Cd8b1/Cd247/Cd40lg/Cd3d/Cd79a/Mcoln2/Sit1/Lat/Slamf1/Tnfrsf13c/Btla/Il12a/Fut7/Trat1/Cd79b/Ccr7/Ccr6/Foxp3/Siglecg/Cd19/Lef1/Fcer2a/Aicda/Cr2/Azgp1
GO:0042113,B cell activation,235,-0.6782729987901805,-2.367014625225483,7.809554334869732e-20,2.3596568422808896e-16,2.2146251976988483e-16,1536,"tags=32%, list=10%, signal=29%",Nfam1/Cdkn1a/Plcl2/Cmtm7/Prkcb/Slamf8/Fzd9/Inpp5d/Nckap1l/Mzb1/Mef2c/Pik3cd/Dock10/Il4/Il21/Tnfrsf13b/Lat2/Myb/Cd70/Lyl1/Btk/Clcf1/Pou2f2/Gpr183/Card11/Ptprc/Bcl2/Tnfrsf4/Ptpn6/Icosl/Lax1/Syk/Ctla4/Gimap1/Ifng/Sash3/Samsn1/6030468B19Rik/Tnfsf4/Il2/Igll1/Pou2af1/Dock11/Il7r/Il10/Il2rg/Gapt/Cd40/Il27ra/Pagr1a/Tbc1d10c/Cd40lg/Cd27/Cdh17/Bst1/Ikzf3/Flt3/Cd79a/Tnfrsf13c/Btla/Fcrl1/Ntrk1/Cd79b/Bank1/Ccr6/Blk/Cxcr5/Ms4a1/Cd22/Foxp3/Siglecg/Cd19/Lef1/Aicda/Cr2
GO:0042110,T cell activation,444,-0.5470874440799062,-2.0302792936344596,4.476769440482125e-16,9.01770590961116e-13,8.463450436953575e-13,2227,"tags=34%, list=15%, signal=30%",Icam1/Batf/Slc11a1/Egr3/Spn/Dhps/Il6/Cd74/Xcl1/Adam8/Zbtb16/Pdcd1lg2/Runx2/Sox13/Lfng/Aire/Gja1/Prdm1/Csk/Il6ra/Thy1/Cd274/Cd209a/Il18/Prex1/Elf4/Smad7/F2rl1/Ikzf1/H2-M3/Tbx21/Gnrh1/Ccdc88b/Btnl2/Runx3/Txk/Cd80/H2-DMa/Fancd2/Ccl5/Clec4d/Zc3h12d/Gadd45g/Nckap1l/Apbb1ip/Ebi3/Nfkbid/Il1b/Tnfrsf14/Was/Vav1/Jaml/Il27/Itgb2/Tigit/Carmil2/Socs1/Clec4f/Il4/Foxn1/Il21/Cd48/Myb/Lep/Tnfaip8l2/Cd160/Cdh26/Irf4/Clec4g/Pag1/Tox/Crip3/Sla2/Dock2/Cd83/Gpr183/Card11/Itgal/Ptprc/Bcl2/Tnfrsf4/Ptpn6/Cxcr4/Cd3e/Icosl/Cd8a/Lax1/Syk/Ctla4/Prkcq/Gimap1/Ly9/Coro1a/Rhoh/Tnfsf8/Cyp26b1/Efnb3/Ifng/Themis/Hsh2d/Sash3/Lepr/Tnfsf4/Il2/Tarm1/Cd3g/Eomes/Il15/Nlrc3/Zap70/Rasal3/Il7r/Dtx1/Cd4/Il2rg/Stx11/Wdfy4/Pla2g2d/Itk/Tespa1/Il27ra/Bcl11b/Slamf6/Rac2/Lck/Cd59b/Cd6/Zbtb32/Cd40lg/Cd2/Cd27/Gpr18/Cd3d/Flt3/Cd209e/Tnfsf14/Sit1/Lat/Slamf1/Cd5/H2-Oa/Tnfrsf13c/Btla/Il12a/Treml2/Fut7/Ccr7/Ccr6/Foxp3/Lef1
GO:0050778,positive regulation of immune response,418,-0.551144960984465,-2.032339467893792,1.0671651720438943e-15,1.6122197836653133e-12,1.5131278807822375e-12,1765,"tags=25%, list=12%, signal=23%",Tlr9/C3/Cfp/Tlr8/Sh2b2/Adora3/Stxbp1/F2rl1/H2-M3/Cmtm3/Tbx21/Nfam1/Hmgb2/Btnl2/Txk/Plcl2/H2-DMa/Rftn1/Pram1/Prkcb/Nckap1l/Nlrc5/Nfkbid/Fpr2/Il1b/Mef2c/Tnfrsf14/Vav1/Itgb2/Ubash3a/Lcp2/Carmil2/Il4/Il21/Pla2g3/Lat2/Myb/Gpr33/Cd160/Nppc/Dennd1b/Btk/Clcf1/Sla2/Card11/Fgr/Ptprc/Bcl2/Stap1/Ptpn6/Lta/Cd3e/Klhl6/Icosl/Lax1/Syk/Ctla4/Prkcq/Gcsam/Ifng/Cacna1f/Themis/Sash3/Fcer1a/6030468B19Rik/Tnfsf4/Il2/Igll1/Il15/Il33/Zap70/Myo1g/Cd4/Sh2d1a/Pla2g5/Skap1/Itk/Tespa1/Cd40/Il27ra/Slamf6/Lck/Pagr1a/Cd59b/Cd247/Coch/Cd40lg/Cd79a/Crhr1/Tnfrsf13c/Cd5l/Il12a/Trat1/Cd79b/Ccr7/Blk/Ms4a1/Cd22/Foxp3/Cd19/Fcer2a/Fcrl5/Cr2/Azgp1
GO:0050851,antigen receptor-mediated signaling pathway,146,-0.7001188655773036,-2.3089093167348533,8.069800058233537e-15,9.753160350381053e-12,9.153701623949958e-12,1679,"tags=36%, list=11%, signal=32%",Sh2b2/Cmtm3/Nfam1/Btnl2/Txk/Plcl2/Rftn1/Pram1/Prkcb/Nckap1l/Nfkbid/Mef2c/Ubash3a/Lcp2/Carmil2/Lat2/Cd160/Dennd1b/Sla2/Card11/Ptprc/Bcl2/Stap1/Ptpn6/Cd3e/Klhl6/Icosl/Lax1/Syk/Ctla4/Gcsam/Ifng/Cacna1f/Themis/Igll1/Zap70/Sh2d1a/Skap1/Itk/Tespa1/Lck/Cd247/Cd79a/Trat1/Cd79b/Ccr7/Blk/Ms4a1/Cd22/Foxp3/Cd19/Fcrl5
GO:0030098,lymphocyte differentiation,344,-0.5661435498181074,-2.0467878099789814,3.3312649632648014e-14,2.911622530094179e-11,2.7326654053228072e-11,2056,"tags=33%, list=14%, signal=29%",Nfatc1/Adam8/Zbtb16/Runx2/Sox13/Lfng/Aire/Prdm1/Flt3l/Il6ra/Il18/Prex1/Tnfaip3/Tlr9/Hdac9/Smad7/Ikzf1/H2-M3/Tbx21/Nfam1/Spi1/Runx3/Txk/Plcl2/H2-DMa/Fancd2/Clec4d/Cmtm7/Slamf8/Fzd9/Gadd45g/Inpp5d/Nckap1l/Nfkbid/Il1b/Vav1/Il27/Hells/Dock10/Carmil2/Socs1/Il4/Foxn1/Il21/Myb/Lep/Irf4/Lyl1/Tox/Pglyrp2/Btk/Clcf1/Pou2f2/Dock2/Cd83/Gpr183/Ly6d/Card11/Ptprc/Bcl2/Ptpn6/Cd3e/Cd8a/Syk/Ctla4/Gimap1/Ly9/Rhoh/Tnfsf8/Cyp26b1/Ifng/Themis/Sash3/Lepr/6030468B19Rik/Tnfsf4/Il2/Cd3g/Eomes/Il15/Zap70/Pou2af1/Dock11/Il7r/Dtx1/Cd4/Il2rg/Pla2g2d/Itk/Tespa1/Bcl11b/Slamf6/Lck/Cd40lg/Cd27/Gpr18/Cdh17/Cd3d/Ikzf3/Flt3/Cd79a/Slamf1/H2-Oa/Il12a/Ntrk1/Fut7/Cd79b/Ccr7/Ccr6/Ms4a1/Foxp3/Cd19/Lef1/Cr2
GO:0055001,muscle cell development,191,0.6421215306609789,2.1847576803546485,3.37272177902685e-14,2.911622530094179e-11,2.7326654053228072e-11,2207,"tags=38%, list=15%, signal=33%",Myoz2/Csrp3/Hnrnpu/Myl2/Ccn4/Acta1/Mypn/Neb/Casq1/Ryr1/Ttn/Klhl41/Myf6/Tnnt3/Lmod3/Alpk2/Myod1/Adra1b/Myoz1/Nrap/Tnnt1/Myo18b/Tmod4/Sypl2/Myog/Tcap/Synpo2l/Klhl40/Xirp1/Cav2/Cavin4/Cacna1s/Tmod1/Six1/Actn2/Prkg1/Alpk3/Kel/Actc1/Mylk3/Flnc/Stac3/Ldb3/Sgcd/Bves/Popdc2/Nfatc4/Ankrd23/Speg/Lmod2/Homer1/Krt19/Nr3c1/Map2k4/Adra1a/Akap6/Pak1/Ppara/Tbx3/Akap13/Tmod3/Krt8/Prox1/Pbrm1/Slc25a4/Casq2/Cxadr/Tmod2/Fhl2/Tmtc3/Pitx2/Capn9/Sgcb
GO:0002694,regulation of leukocyte activation,500,-0.514053937565203,-1.928740325292937,7.725480993272114e-14,5.835635205292923e-11,5.476959419967125e-11,2053,"tags=31%, list=14%, signal=28%",Adam8/Zbtb16/Lrfn5/Pdcd1lg2/Sox13/D6Wsu163e/Prdm1/Csk/Flt3l/Thy1/Cd274/Cd209a/Il18/Irs2/Ptafr/Fgf10/Tnfaip3/Tlr9/Smad7/Gper1/Adora3/Stxbp1/F2rl1/Ikzf1/H2-M3/Tbx21/Gnrh1/Ccdc88b/Nfam1/Btnl2/Runx3/Cdkn1a/Cd80/H2-DMa/Fancd2/Ccl5/Clec4d/Slc7a2/Pram1/Zc3h12d/Slamf8/Cst7/Inpp5d/Nckap1l/Slamf7/Nfkbid/Mzb1/Il1b/Mef2c/Tnfrsf14/Lrrk2/Il27/Itgb2/Tigit/Carmil2/Socs1/Il4/Foxn1/Il21/Bpi/Pla2g3/Muc5b/Tnfrsf13b/Myb/Lep/Tnfaip8l2/Cd160/Nppc/Ttbk1/Clec4g/Unc13d/Pag1/Tox/Pglyrp2/Tacr1/Btk/Il16/Clcf1/Cd83/Gpr183/Card11/Syt11/Itgal/Fgr/Ptprc/Bcl2/Stap1/Tnfrsf4/Ptpn6/Il13ra2/Cd3e/Icosl/Lax1/Mpl/Syk/Ctla4/Prkcq/Coro1a/Rhoh/Cyp26b1/Efnb3/Ifng/Sash3/Samsn1/Fcer1a/Tnfsf4/Il2/Tarm1/Igll1/Il15/Il33/Zap70/Rasal3/Il7r/Dtx1/Cd4/Il10/Il2rg/Pla2g5/Pla2g2d/Tespa1/Cd40/Il27ra/Tspan32/Rac2/Lck/Cnr2/Pagr1a/Cd59b/Cd6/Tbc1d10c/Cd40lg/Cd27/Bst1/Ikzf3/Flt3/Cd209e/Tnfsf14/Sit1/Lat/Crhr1/Slamf1/Cd5/H2-Oa/Tnfrsf13c/Btla/Il12a/Bank1/Ccr7/Cd37/Blk/Cd22/Foxp3/Siglecg/Cd19/Lef1
GO:0051249,regulation of lymphocyte activation,406,-0.5362331803102581,-1.97094776844205,9.434826436052623e-14,6.334961794785111e-11,5.945595887421232e-11,2229,"tags=33%, list=15%, signal=29%",Cd38/Rhbdd3/Chrnb2/Egr3/Spn/Dhps/Il6/Cd74/Xcl1/Adam8/Zbtb16/Pdcd1lg2/Sox13/Prdm1/Csk/Flt3l/Thy1/Cd274/Cd209a/Il18/Irs2/Fgf10/Tnfaip3/Tlr9/Smad7/Ikzf1/H2-M3/Tbx21/Gnrh1/Ccdc88b/Nfam1/Btnl2/Runx3/Cdkn1a/Cd80/H2-DMa/Fancd2/Ccl5/Zc3h12d/Slamf8/Inpp5d/Nckap1l/Slamf7/Nfkbid/Mzb1/Il1b/Mef2c/Tnfrsf14/Il27/Tigit/Carmil2/Socs1/Il4/Foxn1/Il21/Tnfrsf13b/Myb/Lep/Tnfaip8l2/Cd160/Clec4g/Pag1/Tox/Pglyrp2/Tacr1/Btk/Clcf1/Cd83/Gpr183/Card11/Itgal/Fgr/Ptprc/Bcl2/Tnfrsf4/Ptpn6/Cd3e/Icosl/Lax1/Mpl/Syk/Ctla4/Prkcq/Coro1a/Rhoh/Cyp26b1/Efnb3/Ifng/Sash3/Samsn1/Tnfsf4/Il2/Tarm1/Igll1/Il15/Zap70/Rasal3/Il7r/Dtx1/Cd4/Il10/Il2rg/Pla2g2d/Tespa1/Cd40/Il27ra/Rac2/Lck/Pagr1a/Cd59b/Cd6/Tbc1d10c/Cd40lg/Cd27/Bst1/Ikzf3/Flt3/Cd209e/Tnfsf14/Sit1/Lat/Slamf1/Cd5/H2-Oa/Tnfrsf13c/Btla/Il12a/Bank1/Ccr7/Blk/Cd22/Foxp3/Siglecg/Cd19/Lef1
GO:0002377,immunoglobulin production,117,-0.7145941247886266,-2.3016913025598007,2.981851190478663e-13,1.8019326744062557e-10,1.6911804436104248e-10,1335,"tags=28%, list=9%, signal=26%",Mzb1/Nuggc/Il4/Il21/Btk/Clcf1/Pou2f2/Card11/Ptprc/Tnfrsf4/Il13ra2/Icosl/Lax1/Ifng/Sash3/6030468B19Rik/Tnfsf4/Il2/Il33/Il7r/Gapt/Cd40/Il27ra/Vpreb3/Pagr1a/Cd40lg/Cd27/Ccr6/Cd37/Cd22/Foxp3/Siglecg/Aicda
