ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
DOID:1037,lymphoblastic leukemia,333,-0.4882911260414092,-1.7779931402640765,3.897871285429037e-8,2.966280048211497e-5,2.5849041156003084e-5,1689,"tags=22%, list=12%, signal=20%",TNFAIP3/ADRB2/SMAD7/SLC28A1/IKZF1/HLA-G/RAD51/MTHFR/IL2RB/HCLS1/CDKN1A/PRKCB/SERPINE1/IRF8/IL1B/MEF2C/CCNA2/RCSD1/SOCS1/IL4/NKX2-5/IL21/MKI67/BACH2/CISH/MYB/LEP/CD160/CD70/CXCR3/IRF4/ACHE/AFF3/TP73/BTK/CD83/TOP2A/BCL2/PTPN6/CXCR4/SYK/RHOH/IFNG/IL2/IL15/HOXA4/ZAP70/POU2AF1/CD4/IL10/CD40/GATA1/IL21R/MMP7/CD40LG/CD2/TNFRSF8/IKZF3/FLT3/CD209/CD5/TNFRSF13C/CCL22/CXCR5/FOXP3/FCMR/LEF1/CXCL13/FCER2/PAX5/FCRL5/PLAG1/AICDA
DOID:0050338,primary bacterial infectious disease,171,-0.5623582596759643,-1.9133770810011725,1.9497830854422194e-7,5.429255528368843e-5,4.731213753195064e-5,2359,"tags=35%, list=17%, signal=30%",IFNB1/TNFRSF1B/IL1A/GLO1/CCL1/GHRL/ALOX5/CD38/ICAM1/SLC11A1/IL6/PRDM1/CD274/LY96/IL18/MEFV/ACKR2/ABCC6/C3/BTNL2/CD80/CCL5/SERPINE1/PDCD1/IL1B/SOCS1/AGTR2/IL4/SFTPA1/BPIFB1/BPI/CISH/CSF2/LEP/CXCL10/ITGAL/BCL2/CXCR4/LTA/CTLA4/TLR1/IFNG/IL2/CXCR2/ZAP70/PTGS1/IL10/SH2D1A/LCK/APOH/CD247/CTSE/CD40LG/CD27/CD209/SELL/SLAMF1/CCL22/CCR7/APOB
DOID:104,bacterial infectious disease,197,-0.5500116715973663,-1.8938996339156984,2.140310983588243e-7,5.429255528368843e-5,4.731213753195064e-5,2359,"tags=34%, list=17%, signal=29%",IFNB1/TNFRSF1B/IL1A/GLO1/CCL1/GHRL/ALOX5/CD38/ICAM1/SLC11A1/IL6/PRDM1/CD274/LY96/IL18/PTAFR/MEFV/ACKR2/ABCC6/C3/BTNL2/CD80/CCL5/TIMP1/SERPINE1/PDCD1/FPR2/IL1B/ITGB2/SOCS1/AGTR2/IL4/SFTPA1/BPIFB1/BPI/CISH/CSF2/LEP/CXCL10/GNB3/ITGAL/PTGIR/BCL2/CXCR4/LTA/CTLA4/TLR1/IFNG/IL2/CXCR2/ZAP70/PTGS1/IL10/SH2D1A/LCK/APOH/CD247/CTSE/CD40LG/CD27/CD209/SELL/SLAMF1/CCL22/CCR7/APOB/FOXP3
DOID:1040,chronic lymphocytic leukemia,162,-0.5482695183023722,-1.8596572971804637,2.0810382892571744e-6,3.9591753453117743e-4,3.450142426926368e-4,1689,"tags=26%, list=12%, signal=23%",TNFAIP3/SMAD7/SLC28A1/HLA-G/RAD51/MTHFR/HCLS1/PRKCB/SERPINE1/IRF8/IL1B/IL4/IL21/MKI67/CD160/IRF4/CD83/BCL2/CXCR4/SYK/RHOH/IFNG/IL2/HOXA4/ZAP70/POU2AF1/CD4/CD40/IL21R/CD40LG/CD2/CD5/TNFRSF13C/CCL22/CXCR5/FCMR/LEF1/CXCL13/FCER2/FCRL5/PLAG1/AICDA
DOID:7148,rheumatoid arthritis,408,-0.4363809753657036,-1.6112667509751137,3.92977185640092e-6,4.3925746933767243e-4,3.827819429873901e-4,2414,"tags=32%, list=17%, signal=27%",CFTR/SIGIRR/BCL2L1/IFNB1/TNFRSF1B/S1PR1/IL1A/COL2A1/TNFSF13B/S1PR3/FKBP5/GHRL/CD44/ALOX5/ADM/SLC24A3/PARP1/TLR3/CCL24/ICAM1/SLC11A1/B4GALT1/LRP1/IL6/XCL1/LTB4R/NFATC1/TRPV1/PDCD1LG2/GDF15/PRDM1/FLT3LG/IL6R/CD274/HSD11B2/IL18/MEFV/TNFAIP3/ADRB2/TNFRSF17/LPAR1/MIA/TLR8/DHODH/ALOX15/F2RL1/HLA-G/TBX21/MTHFR/IL2RB/BTNL2/IRF5/CDKN1A/CD80/JAM3/VIPR2/HLA-DMA/CCL5/NGFR/SERPINE1/PDCD1/FPR2/IL1B/TNFRSF14/ADAMTS5/ITGB2/LCP2/SOCS1/CD101/IL4/IL21/LAMP3/BPI/LPAR3/CIITA/CD69/LEP/CXCL10/CXCR3/NPPC/GNB3/COMP/BIRC5/AFF3/TACR1/NCF4/STAT4/IL16/CD83/PSTPIP1/PTPRC/TRAF1/BCL2/CXCR4/LTA/PLK1/SYK/CTLA4/TAGAP/TNFSF8/HPSE/IFNG/IL2/CCN6/IL15/SH2D2A/IL33/IL7R/PTGS1/CD4/IL10/TNFRSF25/LRP2/CD40/IL21R/TNFRSF9/CD2/TNFRSF8/FCRLA/IL9R/TNFSF14/TNFRSF13C/LTB/CCL22/BANK1/CCR6/FOXP3/CXCL13/AICDA
DOID:423,myopathy,307,0.45920358211612344,1.648771627356032,4.040476064866895e-6,4.3925746933767243e-4,3.827819429873901e-4,2030,"tags=24%, list=14%, signal=21%",MYOZ2/CSRP3/MYL2/MYH7/PROM1/SGCA/CDKN2A/ACTA1/MYPN/NEB/RYR1/CNTN1/MYBPC2/MYOT/TTN/CKM/MYBPC1/MSTN/CLCN1/TNNT1/MYH2/AQP4/MYOG/TCAP/MYOM1/CACNA1S/ANO5/MUSK/DES/SCN4A/S100A8/MAOB/RBM20/ACTC1/THBS1/GSN/FLNC/LDB3/BACE2/SGCD/CRYAB/SLC6A4/CTNNA3/SYNC/CHRM2/GPC1/KCNJ2/CHRNE/SGCG/MMP3/PTPN22/NCAM1/COL9A2/JPH2/NR3C1/ESR2/KBTBD13/ABCC9/VCL/CCL2/ADRB3/PON1/SLC25A4/PRKCA/DTNA/MYL3/MMP2/APOE/TGM2/ADIPOQ/CST3/CAV1/IFIH1/CXADR/SYNM
DOID:66,muscle tissue disease,307,0.45920358211612344,1.648771627356032,4.040476064866895e-6,4.3925746933767243e-4,3.827819429873901e-4,2030,"tags=24%, list=14%, signal=21%",MYOZ2/CSRP3/MYL2/MYH7/PROM1/SGCA/CDKN2A/ACTA1/MYPN/NEB/RYR1/CNTN1/MYBPC2/MYOT/TTN/CKM/MYBPC1/MSTN/CLCN1/TNNT1/MYH2/AQP4/MYOG/TCAP/MYOM1/CACNA1S/ANO5/MUSK/DES/SCN4A/S100A8/MAOB/RBM20/ACTC1/THBS1/GSN/FLNC/LDB3/BACE2/SGCD/CRYAB/SLC6A4/CTNNA3/SYNC/CHRM2/GPC1/KCNJ2/CHRNE/SGCG/MMP3/PTPN22/NCAM1/COL9A2/JPH2/NR3C1/ESR2/KBTBD13/ABCC9/VCL/CCL2/ADRB3/PON1/SLC25A4/PRKCA/DTNA/MYL3/MMP2/APOE/TGM2/ADIPOQ/CST3/CAV1/IFIH1/CXADR/SYNM
DOID:526,Human immunodeficiency virus infectious disease,131,-0.5648804776528796,-1.8554767315701761,5.8873113844639955e-6,5.600304954471376e-4,4.8802712792267336e-4,1819,"tags=34%, list=13%, signal=30%",CD274/CLEC4M/IL18/SLC28A2/IL10RA/TLR9/SLC28A1/HLA-G/IL2RB/CD80/CCL5/PDCD1/MEF2C/SIGLEC1/ITGB2/IL4/IL21/BACH2/LEP/CXCL10/BIRC5/IL16/PTPRC/BCL2/CXCR4/MPL/IFNG/IL2/IL15/IL7R/CD4/IL10/IL2RG/ITK/MMP7/CD40LG/CD27/CD209/SELL/TNFRSF13C/CCR6/CXCR5/FOXP3/CXCL13
DOID:417,hypersensitivity reaction type II disease,439,-0.4143763461421166,-1.5416772682592557,8.545516232431889e-6,6.879871993356009e-4,5.995323820200963e-4,1850,"tags=23%, list=13%, signal=20%",FLT3LG/IL6R/CD274/NUP210/IL18/MEFV/IL10RA/NOTCH4/ABCC6/TNFAIP3/ADRB2/TLR9/C3/SMAD7/TLR8/F2RL1/MTHFR/NCF1/BTNL2/IRF5/CDKN1A/CD80/CACNA1A/CCL5/TIMP1/TG/PRSS16/PDCD1/IL1B/SIGLEC1/GRAP/PBX3/IL4/IL21/BPI/ALPP/CCL17/CIITA/CYP27B1/LEP/CXCL10/CD70/CXCR3/COMP/HLA-DRA/ACHE/GFAP/BIRC5/STAT4/IL16/SEPSECS/ITGAL/PTPRC/TRAF1/BCL2/TNFRSF4/PTPN6/IL13RA2/CXCR4/CAMK4/CTLA4/TAGAP/LY9/DOK7/IFNG/FCER1A/TNFSF4/IL2/SCN2B/IL15/CXCR2/ARHGAP45/IL7R/CD4/IL10/SH2D1A/UBD/CD40/APOH/CD59/TNFRSF9/CD247/CD6/CD40LG/CD27/CD209/SELL/SLAMF1/CCL22/IL12A/BANK1/CCR7/OPRD1/BLK/CD22/FOXP3/CD19/CXCL13/FCRL5/CR2
DOID:0080000,muscular disease,314,0.4539111906905158,1.6341657746403935,9.040567665382404e-6,6.879871993356009e-4,5.995323820200963e-4,2030,"tags=24%, list=14%, signal=21%",MYOZ2/CSRP3/MYL2/MYH7/PROM1/SGCA/CDKN2A/ACTA1/MYPN/NEB/RYR1/CNTN1/MYBPC2/MYOT/TTN/CKM/MYBPC1/MSTN/CLCN1/TNNT1/MYH2/AQP4/MYOG/TCAP/MYOM1/CACNA1S/ANO5/MUSK/DES/SCN4A/S100A8/MAOB/RBM20/ACTC1/THBS1/GSN/FLNC/DISP1/LDB3/BACE2/SGCD/CRYAB/SLC6A4/CTNNA3/SYNC/CHRM2/GPC1/KCNJ2/CHRNE/SGCG/MMP3/PTPN22/NCAM1/COL9A2/JPH2/NR3C1/ESR2/KBTBD13/ABCC9/VCL/CCL2/ADRB3/PON1/SLC25A4/PRKCA/DTNA/MYL3/MMP2/APOE/TGM2/ADIPOQ/CST3/CAV1/IFIH1/CXADR/SYNM
